PosGrp,SuggestedRole,TopFeatures,Player,Squad,League,UMAP_X,UMAP_Y
FB,FB-0,"PPA↑, npxG/Sh↑, Expected_xA↑, G+A-PK↑, Touches_Att 3rd↑",Andrew Robertson,Liverpool,Premier League,11.715065956115723,11.649468421936035
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Álex Moreno,Aston Villa,Premier League,13.658502578735352,14.664153099060059
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Florian Miguel,OH Leuven,Belgian Pro League,11.821024894714355,17.180980682373047
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Zeki Çelik,Roma,Serie A,12.012024879455566,14.992050170898438
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Nicolas Cozza,Nantes,Ligue 1,12.935419082641602,16.44548225402832
FB,FB-1,"Short_Cmp↓, 1/3↓, Performance_2CrdY↓, Carries_Carries↓, Total_Cmp↓",Oskar Buur,Volendam,Eredivisie,13.128165245056152,16.04787254333496
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Ricardo Rodríguez,Torino,Serie A,10.019575119018555,16.102619171142578
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Thierry Correia,Valencia,La Liga,11.225689888000488,15.168761253356934
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Marc Cucurella,Chelsea,Premier League,11.00520133972168,15.441847801208496
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Davide Calabria,Milan,Serie A,10.554558753967285,14.988532066345215
FB,FB-2,"Dist↓, Carries_Dis↓, Int↑, Touches_Def 3rd↑, Challenges_Tkl%↑",Matheus Reis,Sporting CP,Primeira Liga,10.632823944091797,12.694175720214844
DM,DM-0,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",Maximilian Eggestein,Freiburg,Bundesliga,10.288086891174316,7.554238319396973
DM,DM-0,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",Nicolás González,Porto,Primeira Liga,9.444427490234375,6.492891788482666
DM,DM-0,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",Mahamadou Diawara,Lyon,Ligue 1,10.42406177520752,6.334938049316406
DM,DM-0,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",José Callejón,Granada,La Liga,8.98112964630127,5.360655307769775
DM,DM-0,"Touches_Def 3rd↓, Performance_Off↑, Carries_Mis↑, Def↑, Take-Ons_Tkld%↑",Mattéo Guendouzi,Lazio,Serie A,9.984171867370605,5.764754772186279
DM,DM-1,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",Angelo Stiller,Stuttgart,Bundesliga,7.340487480163574,7.225451946258545
DM,DM-1,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",Mateo Kovačić,Manchester City,Premier League,7.165672779083252,7.782327175140381
DM,DM-1,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",Jonathan de Guzmán,Sparta R'dam,Eredivisie,8.19814395904541,5.896103382110596
DM,DM-1,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",Branco van den Boomen,Ajax,Eredivisie,7.194351673126221,6.35170316696167
DM,DM-1,"Challenges_Lost↓, Expected_A-xAG↑, Performance_Fls↓, Blocks_Pass↓, PK_shooting↑",Xaver Schlager,RB Leipzig,Bundesliga,7.381873607635498,7.882129192352295
DM,DM-2,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",Lawrence Ofori,Moreirense,Primeira Liga,8.70130729675293,8.029010772705078
DM,DM-2,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",Lucas Robertone,Almería,La Liga,8.86296272277832,6.297802925109863
DM,DM-2,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",Ellyes Skhiri,Eint Frankfurt,Bundesliga,9.196507453918457,8.698357582092285
DM,DM-2,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",Douglas,Nantes,Ligue 1,8.427165985107422,9.601824760437012
DM,DM-2,"G+A-PK↓, Performance_CrdY↑, Gls_shooting↓, npxG+xAG↓, Clr↑",Hannes Van der Bruggen,Cercle Brugge,Belgian Pro League,11.579994201660156,8.766729354858398
AM,AM-0,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",André Franco,Porto,Primeira Liga,2.1060333251953125,-1.3656216859817505
AM,AM-0,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",Maghnes Akliouche,Monaco,Ligue 1,3.4501683712005615,1.3587547540664673
AM,AM-0,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",Pablo Sarabia,Wolves,Premier League,2.335986852645874,0.3488011360168457
AM,AM-0,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",Téji Savanier,Montpellier,Ligue 1,1.4978322982788086,-1.1362816095352173
AM,AM-0,"Medium_Cmp%↑, Touches_Def 3rd↑, GCA↑, PrgP↑, Long_Cmp↑",Isco,Betis,La Liga,1.978700876235962,-0.3546627461910248
AM,AM-1,"PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",Lazar Samardzic,Udinese,Serie A,3.0502545833587646,-0.20290639996528625
AM,AM-1,"PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",Darwin Machís,Cádiz,La Liga,4.6481614112854,0.2550513446331024
AM,AM-1,"PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",Ângelo,Strasbourg,Ligue 1,3.7218141555786133,-2.1237077713012695
AM,AM-1,"PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",Kamil Jóźwiak,Granada,La Liga,5.752866744995117,-0.7441702485084534
AM,AM-1,"PrgC↓, SCA↓, xAG↓, Performance_Recov↓, Ast_passing↓",Régis N’Do,Estrela,Primeira Liga,5.118409633636475,-1.060994029045105
AM,AM-2,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",Cauley Woodrow,Luton Town,Premier League,5.848586082458496,0.44654616713523865
AM,AM-2,"Performance_OG↓, xG+xAG↑, G+A-PK↑, Touches_Att Pen↑, Blocks_Sh↓",Solly March,Brighton,Premier League,5.224223613739014,1.5859870910644531
