Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Kaio Jorge,Frosinone,Serie A,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.383346,-6.6550345
Kaj Sierhuis,Fortuna Sittard,Eredivisie,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.367676,-5.117828
Karim Onisiwo,Mainz 05,Bundesliga,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.6616826,-5.232137
Karol Świderski,Hellas Verona,Serie A,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.5871835,-5.1589794
Kasper Dolberg,Anderlecht,Belgian Pro League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.3404093,-6.31177
Kelvin Yeboah,Standard Liège,Belgian Pro League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.128851,-4.6385417
Kevin Behrens,Union Berlin,Bundesliga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",8.533011,-6.334811
Kevin Behrens,Wolfsburg,Bundesliga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.641202,-6.869409
Kevin Schade,Brentford,Premier League,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.675338,-4.4789877
Kikas,Estrela,Primeira Liga,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.571209,-7.1145344
Kiké,Alavés,La Liga,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.2724195,-5.8376684
Koki Ogawa,NEC Nijmegen,Eredivisie,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.9021454,-7.43462
Kyan Vaesen,Westerlo,Belgian Pro League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",7.6160884,-5.3120284
