Player,Squad,League,Pos,PosGrp,RoleCluster,SuggestedRole,TopFeatures,UMAP_X,UMAP_Y
Christian Kouamé,Fiorentina,Serie A,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.6203375,-3.4523106
Christopher Nkunku,Chelsea,Premier League,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.966522,-3.3481133
Chuba Akpom,Ajax,Eredivisie,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.051516,-4.100026
Chukwubuikem Ikwuemesi,Salernitana,Serie A,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.176125,-7.4209228
Ciro Immobile,Lazio,Serie A,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.1971006,-6.202917
Clayton,Casa Pia,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.195733,-6.4536567
Cody Gakpo,Liverpool,Premier League,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.7650294,-3.104424
Cristhian Stuani,Girona,La Liga,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.1928287,-5.8432775
Cristo González,Arouca,Primeira Liga,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.825767,-3.2147582
Cyle Larin,Mallorca,La Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.880682,-7.7991376
Danny Ings,West Ham,Premier League,FW,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.9799824,-4.3265567
Danny Welbeck,Brighton,Premier League,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.52076,-3.952423
David Datro Fofana,Burnley,Premier League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.3710766,-5.327296
David Min,RKC Waalwijk,Eredivisie,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.8739233,-5.53684
Davide Frattesi,Inter,Serie A,MF,CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.08627,-3.546724
Davie Selke,Köln,Bundesliga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.6544547,-7.890753
Dawid Kownacki,Werder Bremen,Bundesliga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",8.402223,-6.5766735
Deniz Undav,Stuttgart,Bundesliga,"FW,MF",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",5.511096,-3.2240353
Dennis Eckert,Union SG,Belgian Pro League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.8496737,-6.0894594
Depú,Gil Vicente FC,Primeira Liga,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.4328017,-7.664328
Dion Drena Beljo,Augsburg,Bundesliga,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.247461,-5.157398
Dion Moise Sahi,Strasbourg,Ligue 1,"MF,FW",CF,2,CF-Hybrid,"PassDead↑, Long_Att↑, Long_Cmp↑, Performance_Crs↑, 1/3↑",6.282593,-3.8885672
Dominic Calvert-Lewin,Everton,Premier League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.8480206,-7.7332544
Dominic Solanke,Bournemouth,Premier League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.923132,-6.106259
Duván Zapata,Torino,Serie A,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.6964664,-5.259437
Dušan Vlahović,Juventus,Serie A,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",4.523847,-6.1938624
Eddie Nketiah,Arsenal,Premier League,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.280782,-5.576496
El Bilal Touré,Atalanta,Serie A,FW,CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",5.1572804,-4.7470856
Eldor Shomurodov,Cagliari,Serie A,"FW,MF",CF,1,CF-Finisher,"Performance_CrdY↑, Long_Cmp%↑, xG↑, Gls_shooting↑, G-xG↑",6.356824,-4.6680403
Eli Junior Kroupi,Lorient,Ligue 1,"FW,MF",CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",7.0778437,-4.9869976
Elijah Adebayo,Luton Town,Premier League,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",5.6381307,-6.5664434
Emanuel Emegha,Strasbourg,Ligue 1,FW,CF,0,CF-Creator,"PrgR↓, Performance_Fld↓, Def↓, xAG↓, Fld↓",6.201193,-7.783863
